226,312
1289,415
1473,417
1649,411
1375,413
1558,409
1768,518
1858,629
1948,735
3465,605
3636,755
3775,926
2596,381
2619,530
2646,660
2709,936
2735,1055
2758,1198
2991,1300
3099,748
3031,1038
1462,1362
1503,1292
1571,1250
1639,1293
1498,1430
1566,1462
1636,1431
1673,1362
1570,1359
1813,1182
1882,1252
1950,1321
2020,1255
2087,1185
1882,1393
1812,1463
2020,1392
2091,1461
4218,353
4280,302
4346,292
4412,301
4480,340
4260,513
4286,580
4302,644
4346,583
4395,515
4253,948
4285,881
4313,814
4353,878
4400,948
4201,1090
4263,1148
4329,1167
4395,1147
4463,1102
4786,401
4851,401
4916,400
4983,401
5048,401
4787,466
4809,527
4856,585
4921,595
4988,583
5047,469
5021,527
5185,448
5255,401
5253,495
5322,357
5324,548
5388,315
5456,308
5524,305
5392,575
5461,579
5530,584
5409,380
5413,451
5417,519
6290,1207
6447,972
6746,1074
6351,1156
6412,1118
6421,1048
6515,1048
6587,1124
6665,1082
6693,1167
6629,1237
6586,1334
6517,1386
6473,1466
6429,1391
6403,1317
6348,1267
6682,1306
6654,1386
6738,1394
8352,307
8458,855
8417,602
8073,674
8078,936
8077,1187
8083,1457
7323,1042
6901,670
6447,311
6120,661
5889,996
5646,1370
726,847
885,714
959,655
806,783
8071,538
