323,321
350,454
372,587
394,719
415,852
735,1167
735,1299
735,1430
735,1563
735,1035
1133,1598
1153,1465
1180,1333
1201,1201
1227,1068
1249,934
1275,801
1295,662
2081,743
2081,610
2081,477
2081,875
2302,1046
2331,912
2365,778
2392,643
2423,508
2634,397
2664,530
2689,663
2716,797
2744,929
2770,1061
2795,1195
3025,1294
3044,1162
3065,1029
3096,894
3128,759
3518,607
3689,763
3823,930
3952,1101
3952,1232
3952,1356
3952,1481
4593,324
4596,460
4616,593
4615,726
4642,860
4643,994
4658,1127
4657,1259
4832,1596
4992,1352
5195,1599
5357,1367
5535,1597
5700,1371
5812,1179
5834,1598
5930,1003
6028,838
6156,667
6278,490
6489,322
6709,492
6936,674
7179,880
7371,1042
7853,322
7852,455
7853,589
7852,723
7852,856
7851,988
7853,1120
7851,1255
8117,1596
8116,1461
8115,1327
8117,1193
8115,1060
8116,927
8116,793
8115,660
8116,528
8411,322
8437,455
8459,589
8483,721
8508,854
8652,1597
8882,1600
8882,1467
9589,323
9589,457
9590,1597
9589,1465
9590,1333
9589,590
9378,591
9376,456
9396,1328
9396,1462
9220,594
9223,1316
5782,818
5691,647
5691,512
5691,377
5525,1175
5177,1174
5351,986
5380,853
7179,748
428,985
785,1036
