410,660
431,586
448,661
422,752
683,534
712,433
710,518
730,619
742,505
1200,568
1155,663
1187,691
1212,647
1318,1071
1348,1032
1379,973
1356,1144
1397,1089
1504,493
1784,509
1648,825
1843,941
2336,747
2300,662
2283,774
2263,719
2299,866
2341,851
2332,943
2712,586
2727,515
2732,637
2767,551
2763,655
2807,593
2853,1143
2870,1061
2895,1158
2870,1264
3564,556
3610,635
3594,532
3632,583
3619,477
3569,444
4090,601
4130,509
4113,607
4145,578
4311,1079
4311,950
4311,859
4765,586
4790,666
4797,574
4819,487
4835,587
4953,1247
4976,1131
5017,1043
5316,512
5316,640
5365,511
5365,641
5423,1122
5470,1064
5457,1164
5503,1170
5511,1087
5425,1237
5470,1277
5443,1356
5509,1001
8454,694
8453,804
8452,893
8453,987
8452,1076
8495,633
8495,749
8495,861
8494,965
8493,1054
8493,1147
8682,551
8848,466
9013,321
9213,465
9790,1495
9795,979
9822,891
9829,978
9817,1035
9867,864
9848,1088
9858,967
